"Operativo";"escuela seleccionada";"Nivel";"Gestión";"Supervisión";"Escuela_ID";"CUE";"subcue";"Número_escuela";"Anexo";"Número_Anexo";"Nombre_Escuela";"Departamento";"Localidad";"zona";"AMBITO";"Regional";"Curso";"Curso_ID";"División";"División_ID";"Turno";"Modalidad";"Matrícula";"Cantidad_alumnos_evaluados_por_división";"Diferencia por censar";"ciclo_lectivo";"cencista"
"División aún no censada!";"si";"Primario";"Pública";"21 - Primario";"2335";"5000997";"00";"1002";"0";"1002-0";"MANUEL BLANCO ENCALADA";"JUNIN";"JUNIN";"80%";"Urbano";"ESTE";"2°";"8";"A";"16071";"Mañana";"Presencial";"27";"0";"27";-;-
"División aún no censada!";"si";"Primario";"Pública";"21 - Primario";"2335";"5000997";"00";"1002";"0";"1002-0";"MANUEL BLANCO ENCALADA";"JUNIN";"JUNIN";"80%";"Urbano";"ESTE";"2°";"8";"B";"16079";"Mañana";"Presencial";"27";"0";"27";-;-
"División aún no censada!";"si";"Primario";"Pública";"21 - Primario";"2335";"5000997";"00";"1002";"0";"1002-0";"MANUEL BLANCO ENCALADA";"JUNIN";"JUNIN";"80%";"Urbano";"ESTE";"2°";"8";"C";"34364";"Tarde";"Presencial";"24";"0";"24";-;-
"División aún no censada!";"si";"Primario";"Pública";"21 - Primario";"2335";"5000997";"00";"1002";"0";"1002-0";"MANUEL BLANCO ENCALADA";"JUNIN";"JUNIN";"80%";"Urbano";"ESTE";"2°";"8";"D";"57776";"Tarde";"Presencial";"27";"0";"27";-;-
"Operativo 2022 Instancia I";"si";"Primario";"Pública";"21 - Primario";"2335";"5000997";"00";"1002";"0";"1002-0";"MANUEL BLANCO ENCALADA";"JUNIN";"JUNIN";"80%";"Urbano";"ESTE";"3°";"9";"A";"16072";"Mañana";"Presencial";"27";"24";"3";"2022";"ESCUDERO ADRIANA ALEJANDRA,SAEZ MARIELA NOELIA"
"Operativo 2022 Instancia I";"si";"Primario";"Pública";"21 - Primario";"2335";"5000997";"00";"1002";"0";"1002-0";"MANUEL BLANCO ENCALADA";"JUNIN";"JUNIN";"80%";"Urbano";"ESTE";"3°";"9";"B";"16080";"Mañana";"Presencial";"28";"27";"1";"2022";"ESCUDERO ADRIANA ALEJANDRA,SAEZ MARIELA NOELIA"
"Operativo 2022 Instancia I";"si";"Primario";"Pública";"21 - Primario";"2335";"5000997";"00";"1002";"0";"1002-0";"MANUEL BLANCO ENCALADA";"JUNIN";"JUNIN";"80%";"Urbano";"ESTE";"3°";"9";"C";"34365";"Tarde";"Presencial";"18";"16";"2";"2022";"ESCUDERO ADRIANA ALEJANDRA,SAEZ MARIELA NOELIA"
"Operativo 2022 Instancia I";"si";"Primario";"Pública";"21 - Primario";"2335";"5000997";"00";"1002";"0";"1002-0";"MANUEL BLANCO ENCALADA";"JUNIN";"JUNIN";"80%";"Urbano";"ESTE";"3°";"9";"D";"74853";"Tarde";"Presencial";"18";"10";"8";"2022";"ESCUDERO ADRIANA ALEJANDRA,SAEZ MARIELA NOELIA"
"División aún no censada!";"si";"Primario";"Pública";"21 - Primario";"2335";"5000997";"00";"1002";"0";"1002-0";"MANUEL BLANCO ENCALADA";"JUNIN";"JUNIN";"80%";"Urbano";"ESTE";"4°";"10";"A";"16073";"Mañana";"Presencial";"25";"0";"25";-;-
"División aún no censada!";"si";"Primario";"Pública";"21 - Primario";"2335";"5000997";"00";"1002";"0";"1002-0";"MANUEL BLANCO ENCALADA";"JUNIN";"JUNIN";"80%";"Urbano";"ESTE";"4°";"10";"B";"16081";"Mañana";"Presencial";"24";"0";"24";-;-
"División aún no censada!";"si";"Primario";"Pública";"21 - Primario";"2335";"5000997";"00";"1002";"0";"1002-0";"MANUEL BLANCO ENCALADA";"JUNIN";"JUNIN";"80%";"Urbano";"ESTE";"4°";"10";"C";"36363";"Tarde";"Presencial";"33";"0";"33";-;-
"Operativo 2022 Instancia I";"si";"Primario";"Pública";"21 - Primario";"2335";"5000997";"00";"1002";"0";"1002-0";"MANUEL BLANCO ENCALADA";"JUNIN";"JUNIN";"80%";"Urbano";"ESTE";"5°";"11";"A";"16074";"Mañana";"Presencial";"25";"20";"5";"2022";"ESCUDERO ADRIANA ALEJANDRA,SAEZ MARIELA NOELIA"
"Operativo 2022 Instancia I";"si";"Primario";"Pública";"21 - Primario";"2335";"5000997";"00";"1002";"0";"1002-0";"MANUEL BLANCO ENCALADA";"JUNIN";"JUNIN";"80%";"Urbano";"ESTE";"5°";"11";"B";"16082";"Mañana";"Presencial";"25";"21";"4";"2022";"ESCUDERO ADRIANA ALEJANDRA,SAEZ MARIELA NOELIA"
"Operativo 2022 Instancia I";"si";"Primario";"Pública";"21 - Primario";"2335";"5000997";"00";"1002";"0";"1002-0";"MANUEL BLANCO ENCALADA";"JUNIN";"JUNIN";"80%";"Urbano";"ESTE";"5°";"11";"C";"16075";"Tarde";"Presencial";"25";"19";"6";"2022";"ESCUDERO ADRIANA ALEJANDRA,SAEZ MARIELA NOELIA"
"División aún no censada!";"si";"Primario";"Pública";"21 - Primario";"2335";"5000997";"00";"1002";"0";"1002-0";"MANUEL BLANCO ENCALADA";"JUNIN";"JUNIN";"80%";"Urbano";"ESTE";"6°";"12";"A";"16076";"Mañana";"Presencial";"32";"0";"32";-;-
"División aún no censada!";"si";"Primario";"Pública";"21 - Primario";"2335";"5000997";"00";"1002";"0";"1002-0";"MANUEL BLANCO ENCALADA";"JUNIN";"JUNIN";"80%";"Urbano";"ESTE";"6°";"12";"B";"36367";"Mañana";"Presencial";"31";"0";"31";-;-
"División aún no censada!";"si";"Primario";"Pública";"21 - Primario";"2335";"5000997";"00";"1002";"0";"1002-0";"MANUEL BLANCO ENCALADA";"JUNIN";"JUNIN";"80%";"Urbano";"ESTE";"6°";"12";"C";"36364";"Tarde";"Presencial";"20";"0";"20";-;-
